cpv_code,name,description
34144431,Vozila za čišćenje puteva usisavanjem,Suction-sweeper vehicles
42113390,Sistemi za gasna goriva,Fuel-gas systems
90640000,Usluge čišćenja i pražnjenja slivnika,Gully cleaning and emptying services
90430000,Usluge odvođenja otpadnih voda,Sewage disposal services
63712400,Usluge parkiranja,Parking services
39296000,Pogrebna oprema,Funeral supplies
45234100,Radovi na izgradnji železničkih pruga,Railway construction works
48320000,Programski paket za crtanje i slikovni prikaz,Drawing and imaging software package
03120000,Hortikulturni proizvodi i proizvodi iz rasadnika,Horticultural and nursery products
34700000,Vazduhoplovi i svemirske letelice,Aircraft and spacecraft
31110000,Električni motori,Electric motors
24958200,Flokulanti,Flocculating agents
42514310,Vazdušni filteri,Air filters
44316300,Rešetke,Grilles
51514110,Usluge instaliranja uređaja za filtriranje ili prečišćavanje vode,Installation services of machinery and apparatus for filtering or purifying water
34311000,Motori,Engines
38543000,Oprema za detekciju gasa,Gas-detection equipment
39715300,Vodoinstalaterska oprema,Plumbing equipment
92521210,Usluge očuvanja eksponata,Preservation services of exhibits
63710000,Prateće usluge u kopnenom prevozu,Support services for land transport
32324000,Televizori,Televisions
